GameNumber,RunNumber,ManaUsed,PlayerHealth,PlayerHealing,DamageToPlayer,EnemyCount,EnemyTypeCounts,PlayerSpeed,PlayerDefense,AIScorePercent
1,1,10.00,147.00,5.00,8.00,4.00,"Skeleton Unarmed=2; Skeleton Sword=1; Skeleton Shield=0; Skeleton Spear=0; Skeleton Sword & Shield=0; Skeleton Mage=1; Skeleton Bow=0; Skeleton Leader=0",4.00,2.00,0.00
1,2,23.00,150.00,11.00,8.00,10.00,"Skeleton Unarmed=3; Skeleton Sword=2; Skeleton Shield=0; Skeleton Spear=3; Skeleton Sword & Shield=1; Skeleton Mage=0; Skeleton Bow=1; Skeleton Leader=0",4.13,2.00,0.00
1,3,34.00,147.00,16.00,19.00,12.00,"Skeleton Unarmed=3; Skeleton Sword=2; Skeleton Shield=1; Skeleton Spear=2; Skeleton Sword & Shield=2; Skeleton Mage=1; Skeleton Bow=1; Skeleton Leader=0",4.32,2.00,0.00
1,4,48.00,150.00,13.00,10.00,16.00,"Skeleton Unarmed=3; Skeleton Sword=4; Skeleton Shield=2; Skeleton Spear=2; Skeleton Sword & Shield=1; Skeleton Mage=3; Skeleton Bow=1; Skeleton Leader=0",4.49,2.00,0.00
1,5,64.00,140.00,19.00,29.00,21.00,"Skeleton Unarmed=4; Skeleton Sword=4; Skeleton Shield=2; Skeleton Spear=3; Skeleton Sword & Shield=3; Skeleton Mage=3; Skeleton Bow=2; Skeleton Leader=0",4.83,2.00,0.00
1,6,69.00,140.00,13.00,13.00,24.00,"Skeleton Unarmed=5; Skeleton Sword=3; Skeleton Shield=2; Skeleton Spear=5; Skeleton Sword & Shield=4; Skeleton Mage=2; Skeleton Bow=3; Skeleton Leader=0",5.36,2.50,0.00
1,7,84.00,150.00,31.00,21.00,29.00,"Skeleton Unarmed=5; Skeleton Sword=6; Skeleton Shield=2; Skeleton Spear=7; Skeleton Sword & Shield=3; Skeleton Mage=4; Skeleton Bow=2; Skeleton Leader=0",5.81,2.50,0.00
1,8,99.00,150.00,26.50,26.50,30.00,"Skeleton Unarmed=5; Skeleton Sword=5; Skeleton Shield=2; Skeleton Spear=7; Skeleton Sword & Shield=3; Skeleton Mage=4; Skeleton Bow=3; Skeleton Leader=1",5.83,2.50,0.00
1,9,104.00,150.00,18.00,18.00,34.00,"Skeleton Unarmed=6; Skeleton Sword=5; Skeleton Shield=4; Skeleton Spear=6; Skeleton Sword & Shield=4; Skeleton Mage=6; Skeleton Bow=3; Skeleton Leader=0",6.32,2.50,0.00
1,10,119.00,50.00,13.50,13.50,36.00,"Skeleton Unarmed=6; Skeleton Sword=6; Skeleton Shield=4; Skeleton Spear=7; Skeleton Sword & Shield=5; Skeleton Mage=4; Skeleton Bow=3; Skeleton Leader=1",6.36,2.50,0.00
1,11,130.00,67.00,40.00,23.00,39.00,"Skeleton Unarmed=7; Skeleton Sword=6; Skeleton Shield=3; Skeleton Spear=7; Skeleton Sword & Shield=5; Skeleton Mage=6; Skeleton Bow=4; Skeleton Leader=1",7.14,3.00,0.00
1,12,146.00,100.00,40.00,7.00,45.00,"Skeleton Unarmed=8; Skeleton Sword=7; Skeleton Shield=7; Skeleton Spear=7; Skeleton Sword & Shield=6; Skeleton Mage=5; Skeleton Bow=4; Skeleton Leader=1",7.17,3.00,0.00
1,13,159.00,150.00,50.00,0.00,50.00,"Skeleton Unarmed=10; Skeleton Sword=8; Skeleton Shield=4; Skeleton Spear=9; Skeleton Sword & Shield=6; Skeleton Mage=7; Skeleton Bow=5; Skeleton Leader=1",7.32,3.00,0.00
1,14,170.00,150.00,18.00,18.00,54.00,"Skeleton Unarmed=9; Skeleton Sword=10; Skeleton Shield=5; Skeleton Spear=10; Skeleton Sword & Shield=6; Skeleton Mage=6; Skeleton Bow=7; Skeleton Leader=1",7.70,3.00,0.00
1,15,177.00,150.00,27.00,27.00,57.00,"Skeleton Unarmed=11; Skeleton Sword=11; Skeleton Shield=6; Skeleton Spear=10; Skeleton Sword & Shield=6; Skeleton Mage=7; Skeleton Bow=5; Skeleton Leader=1",7.88,3.00,0.00
1,16,191.00,150.00,38.00,38.00,60.00,"Skeleton Unarmed=12; Skeleton Sword=10; Skeleton Shield=6; Skeleton Spear=9; Skeleton Sword & Shield=7; Skeleton Mage=9; Skeleton Bow=6; Skeleton Leader=1",8.01,3.50,0.00
1,17,214.00,150.00,27.00,27.00,64.00,"Skeleton Unarmed=12; Skeleton Sword=11; Skeleton Shield=6; Skeleton Spear=10; Skeleton Sword & Shield=7; Skeleton Mage=9; Skeleton Bow=7; Skeleton Leader=2",8.52,3.50,0.00
1,18,210.00,150.00,25.50,25.50,64.00,"Skeleton Unarmed=12; Skeleton Sword=10; Skeleton Shield=5; Skeleton Spear=10; Skeleton Sword & Shield=9; Skeleton Mage=11; Skeleton Bow=6; Skeleton Leader=1",9.31,3.50,0.00
1,19,236.00,150.00,17.50,17.50,73.00,"Skeleton Unarmed=16; Skeleton Sword=12; Skeleton Shield=7; Skeleton Spear=11; Skeleton Sword & Shield=8; Skeleton Mage=10; Skeleton Bow=7; Skeleton Leader=2",9.37,3.50,0.00
