TimeSurvived,PhysicalDamageDone,MagicDamageDone,RawPhysicalDamageDone,RawMagicDamageDone,PlayerHealingReceived,PlayerHealth,PlayerSpeed,PlayerDefense,MeleeDamageScore,RangeDamageScore,ManaUsed,EnemySpawns,EnemyDamageByType,Reward
245.0000,4.7667,8.2333,5.5000,9.5000,2.0000,37.0000,1.5000,0.5000,1,1,10,2;0;0;0;0;1;1;0,1.0000;0.0000;0.0000;0.0000;0.0000;9.5000;4.5000;0.0000,0.4463
253.8118,6.0000,0.0000,13.0000,0.0000,7.0000,31.0000,1.6921,0.5000,1,1,23,4;0;1;2;0;0;4;0,1.5000;0.0000;0.0000;2.5000;0.0000;0.0000;9.0000;0.0000,0.4438
259.7085,2.0000,0.0000,15.0000,0.0000,13.0000,29.0000,2.0004,0.5000,2,2,34,7;1;0;5;1;0;3;0,1.0000;0.0000;0.0000;5.0000;4.5000;0.0000;4.5000;0.0000,0.4428
269.2916,0.0000,0.0000,20.5833,0.9167,32.0000,39.5000,1.8923,0.5000,2,2,47,7;0;1;4;1;0;3;1,1.5000;0.0000;0.5000;5.0000;0.0000;0.0000;9.0000;5.5000,0.4497
278.9841,4.3333,2.1667,19.0000,9.5000,22.0000,33.0000,2.1122,0.5000,3,3,60,10;0;2;6;3;1;4;0,2.5000;0.0000;0.5000;2.5000;4.5000;9.5000;9.0000;0.0000,0.4708
287.8428,30.0000,18.0000,30.0000,18.0000,0.0000,0.0000,2.8153,1.0000,3,3,80,11;1;3;6;2;4;5;0,0.0000;4.0000;0.0000;6.0000;4.0000;18.0000;16.0000;0.0000,0.5478
245.0000,3.8571,8.1429,4.5000,9.5000,2.0000,38.0000,1.5000,0.5000,1,1,10,2;0;0;0;0;1;1;0,0.0000;0.0000;0.0000;0.0000;0.0000;9.5000;4.5000;0.0000,0.4447
251.1740,3.0000,0.0000,10.0000,0.0000,7.0000,35.0000,1.7016,0.5000,1,1,20,4;0;0;2;0;0;4;0,1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;9.0000;0.0000,0.4359
258.4940,0.0000,0.0000,5.0000,0.0000,13.0000,43.0000,2.0329,0.5000,2,2,33,5;0;1;2;2;1;2;0,0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;4.5000;0.0000,0.4381
269.2480,5.0000,0.0000,27.0000,0.0000,22.0000,38.0000,2.1611,0.5000,2,2,48,6;0;1;5;3;1;3;0,1.5000;0.0000;0.0000;7.5000;4.5000;0.0000;13.5000;0.0000,0.4577
278.9784,0.0000,0.0000,12.5000,9.5000,24.0000,40.0000,2.1843,0.5000,2,2,60,7;1;4;7;2;1;3;0,1.0000;0.0000;1.5000;10.0000;0.0000;9.5000;0.0000;0.0000,0.4600
286.5004,0.0000,0.0000,10.0000,18.0000,36.0000,48.0000,3.0492,1.0000,3,3,71,8;1;4;8;2;2;4;0,0.0000;4.0000;0.0000;2.0000;0.0000;18.0000;4.0000;0.0000,0.4678
295.6091,3.6364,1.3636,24.0000,9.0000,28.0000,43.0000,3.2669,1.0000,3,3,76,11;1;5;7;2;1;6;0,0.0000;0.0000;0.0000;4.0000;4.0000;9.0000;16.0000;0.0000,0.4873
300.7464,22.0000,27.0000,22.0000,27.0000,0.0000,0.0000,3.1540,1.0000,3,4,93,13;1;2;9;2;5;6;0,0.0000;4.0000;0.0000;6.0000;4.0000;27.0000;8.0000;0.0000,0.5641
245.0000,0.0000,0.0000,0.5000,0.0000,0.5000,50.0000,1.5000,0.5000,1,1,10,3;0;1;2;0;0;0;0,0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.4247
253.9830,10.5000,0.0000,18.5000,0.0000,8.0000,39.5000,1.6750,0.5000,1,1,21,3;1;0;2;0;1;2;0,0.0000;4.5000;0.0000;5.0000;0.0000;0.0000;9.0000;0.0000,0.4519
259.3451,3.5294,4.4706,7.5000,9.5000,9.0000,31.5000,1.8542,0.5000,2,2,35,5;0;1;4;1;1;3;0,0.5000;0.0000;0.0000;2.5000;0.0000;9.5000;4.5000;0.0000,0.4521
268.4956,12.5000,19.0000,12.5000,19.0000,0.0000,0.0000,2.0403,0.5000,2,2,48,6;1;1;5;1;3;2;0,0.5000;0.0000;0.5000;2.5000;4.5000;19.0000;4.5000;0.0000,0.5009
245.0000,0.0000,0.0000,4.5000,0.0000,4.5000,50.0000,1.5000,0.5000,1,1,10,2;0;0;1;0;0;2;0,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;4.5000;0.0000,0.4247
251.8858,0.0000,0.0000,8.0833,0.9167,9.0000,50.0000,1.6296,0.5000,1,1,24,2;0;0;2;0;0;1;1,1.0000;0.0000;0.0000;2.5000;0.0000;0.0000;0.0000;5.5000,0.4310
263.1276,5.5000,0.0000,13.5000,0.0000,8.0000,44.5000,1.7473,0.5000,2,2,34,6;0;2;3;2;0;2;0,1.0000;0.0000;0.5000;7.5000;4.5000;0.0000;0.0000;0.0000,0.4532
267.5355,10.2615,4.2385,23.0000,9.5000,18.0000,30.0000,2.0618,0.5000,2,2,49,7;0;1;5;2;2;3;0,2.5000;0.0000;0.0000;2.5000;4.5000;9.5000;13.5000;0.0000,0.4711
274.6198,23.0000,9.5000,23.0000,9.5000,0.0000,0.0000,2.3825,0.5000,3,2,58,6;1;1;6;4;1;3;0,1.5000;4.5000;0.5000;7.5000;4.5000;9.5000;4.5000;0.0000,0.5087
245.0000,1.4583,5.5417,2.5000,9.5000,5.0000,43.0000,1.5000,0.5000,1,1,10,1;0;0;2;0;1;0;0,0.0000;0.0000;0.0000;2.5000;0.0000;9.5000;0.0000;0.0000,0.4363
254.9865,0.0000,0.0000,2.5000,0.0000,8.0000,48.5000,1.6757,0.5000,1,1,20,2;0;0;2;1;0;3;0,0.0000;0.0000;0.0000;2.5000;0.0000;0.0000;0.0000;0.0000,0.4360
259.3589,0.0000,0.0000,11.5000,0.0000,13.0000,50.0000,1.8351,0.5000,2,1,32,4;0;2;3;2;0;2;0,0.0000;0.0000;0.0000;2.5000;4.5000;0.0000;4.5000;0.0000,0.4394
265.4405,5.1333,8.8667,11.0000,19.0000,16.0000,36.0000,2.0767,0.5000,2,2,47,5;0;1;5;2;2;3;0,1.5000;0.0000;0.0000;5.0000;4.5000;19.0000;0.0000;0.0000,0.4679
277.5416,7.6154,4.3846,16.5000,9.5000,14.0000,24.0000,2.4433,0.5000,2,2,59,6;1;2;6;3;1;4;0,1.5000;0.0000;0.5000;10.0000;0.0000;9.5000;4.5000;0.0000,0.4783
285.5169,26.0000,0.0000,26.0000,0.0000,0.0000,0.0000,2.9591,1.0000,3,3,68,11;1;2;5;2;2;6;0,0.0000;0.0000;0.0000;2.0000;4.0000;0.0000;20.0000;0.0000,0.5104
245.0000,0.0000,0.0000,5.0000,0.0000,5.0000,50.0000,1.5000,0.5000,1,1,10,3;0;0;1;1;0;0;0,0.5000;0.0000;0.0000;0.0000;4.5000;0.0000;0.0000;0.0000,0.4247
254.8506,7.1190,5.8810,11.5000,9.5000,8.0000,37.0000,1.6701,0.5000,1,1,21,3;0;2;2;0;1;1;0,1.0000;0.0000;1.0000;5.0000;0.0000;9.5000;4.5000;0.0000,0.4573
261.6123,0.0000,0.0000,17.0000,0.0000,17.0000,37.0000,1.8551,0.5000,2,2,32,5;1;1;4;2;0;1;0,2.5000;0.0000;0.5000;5.0000;4.5000;0.0000;4.5000;0.0000,0.4424
272.2484,30.5000,9.5000,30.5000,9.5000,0.0000,0.0000,1.9762,0.5000,2,2,49,6;1;2;6;1;1;4;0,0.5000;0.0000;0.0000;7.5000;4.5000;9.5000;18.0000;0.0000,0.5199
245.0000,1.8333,3.1667,5.5000,9.5000,10.0000,45.0000,1.5000,0.5000,1,1,10,2;1;0;0;0;1;0;0,1.0000;4.5000;0.0000;0.0000;0.0000;9.5000;0.0000;0.0000,0.4330
252.0606,5.5000,0.0000,16.5000,0.0000,11.0000,39.5000,1.7057,0.5000,1,1,23,3;0;1;4;0;0;3;0,0.5000;0.0000;0.0000;2.5000;0.0000;0.0000;13.5000;0.0000,0.4406
262.2536,1.0000,0.0000,9.0000,0.0000,8.0000,38.5000,1.8219,0.5000,2,1,35,4;2;2;3;2;0;1;0,0.0000;0.0000;0.0000;0.0000;9.0000;0.0000;0.0000;0.0000,0.4443
271.9102,5.0000,0.0000,24.0000,0.0000,19.0000,33.5000,2.0602,0.5000,2,2,45,6;1;1;4;1;1;5;0,1.0000;0.0000;0.0000;5.0000;0.0000;0.0000;18.0000;0.0000,0.4619
276.1711,4.9600,3.0400,15.5000,9.5000,17.0000,25.5000,2.4202,0.5000,3,2,56,6;1;2;6;2;2;3;0,0.5000;4.5000;0.5000;10.0000;0.0000;9.5000;0.0000;0.0000,0.4704
285.3240,26.0000,9.0000,26.0000,9.0000,0.0000,0.0000,2.9461,1.0000,3,3,71,7;2;3;5;2;1;3;1,0.0000;4.0000;0.0000;6.0000;8.0000;9.0000;8.0000;0.0000,0.5246
